amount,is_vpn,hour_of_day,day_of_week,device_type_desktop,device_type_mobile,device_type_tablet,"location_California, USA","location_Florida, USA","location_New York, USA","location_Texas, USA",card_type_credit,card_type_debit,card_type_prepaid
58.08,False,17,4,1,0,0,1,0,0,0,0,0,1
733.32,False,17,1,0,1,0,0,0,1,0,0,0,1
676.48,True,17,0,0,0,1,1,0,0,0,0,1,0
1156.28,False,17,2,1,0,0,0,1,0,0,0,0,1
636.51,False,17,5,1,0,0,0,1,0,0,1,0,0
157.47,True,17,0,0,1,0,1,0,0,0,1,0,0
328.13,False,17,6,1,0,0,1,0,0,0,1,0,0
242.06,True,17,5,1,0,0,1,0,0,0,0,0,1
1597.5,True,17,5,1,0,0,1,0,0,0,0,1,0
209.23,False,17,2,1,0,0,0,0,1,0,0,0,1
547.33,False,17,2,1,0,0,0,0,1,0,1,0,0
3569.76,True,17,4,0,1,0,0,0,1,0,0,1,0
123.86,False,17,0,1,0,0,0,0,0,1,0,0,1
183.67,False,17,0,1,0,0,1,0,0,0,0,1,0
252.7,False,17,0,0,0,1,0,1,0,0,1,0,0
765.86,False,17,6,1,0,0,1,0,0,0,0,0,1
819.38,False,17,2,0,1,0,0,1,0,0,0,0,1
617.99,False,17,3,0,0,1,0,0,0,1,0,0,1
117.73,False,17,0,1,0,0,0,1,0,0,0,1,0
729.93,True,17,6,0,0,1,1,0,0,0,0,0,1
140.5,True,17,2,0,0,1,1,0,0,0,1,0,0
116.46,False,17,2,0,1,0,0,0,0,1,0,1,0
43.0,False,17,0,0,0,1,1,0,0,0,0,0,1
304.08,True,17,5,0,1,0,0,1,0,0,0,1,0
76.59,False,17,4,0,0,1,0,1,0,0,1,0,0
457.63,False,17,5,0,0,1,1,0,0,0,0,1,0
24.77,False,17,1,0,0,1,0,1,0,0,1,0,0
424.26,True,17,5,0,1,0,0,1,0,0,0,1,0
38.69,False,17,2,0,1,0,0,0,1,0,1,0,0
1612.17,True,17,0,0,1,0,0,0,1,0,1,0,0
328.37,False,17,5,0,1,0,1,0,0,0,0,0,1
13.26,False,17,4,0,1,0,1,0,0,0,0,1,0
119.5,False,17,5,0,0,1,0,0,1,0,0,1,0
1111.4,False,17,4,0,1,0,0,0,0,1,0,0,1
443.7,True,17,4,1,0,0,0,0,1,0,0,0,1
187.96,False,17,4,0,0,1,0,1,0,0,0,0,1
184.48,False,17,6,0,0,1,0,1,0,0,1,0,0
267.0,False,17,6,1,0,0,0,1,0,0,0,1,0
160.14,True,17,1,0,1,0,0,0,0,1,0,0,1
610.28,False,17,3,0,0,1,1,0,0,0,0,1,0
0.64,False,17,5,0,0,1,0,0,1,0,1,0,0
66.92,False,17,5,1,0,0,0,0,0,1,0,1,0
71.02,False,17,6,1,0,0,0,0,1,0,1,0,0
55.95,False,17,4,0,1,0,0,1,0,0,0,0,1
163.44,False,17,3,0,0,1,0,0,0,1,1,0,0
332.0,False,17,4,0,1,0,0,1,0,0,1,0,0
286.18,False,17,5,0,1,0,0,1,0,0,0,0,1
85.29,False,17,0,0,0,1,1,0,0,0,0,0,1
1672.15,True,17,2,1,0,0,0,0,1,0,0,1,0
131.08,False,17,5,1,0,0,0,0,0,1,1,0,0
608.68,True,17,6,1,0,0,0,1,0,0,0,0,1
0.13,False,17,2,0,1,0,0,1,0,0,0,1,0
