transaction_id,user_id,timestamp,amount,device_type,location,is_vpn,card_type,is_fraud
T10860,U86820,2025-05-07T17:39:30.731706Z,147.57,tablet,"Texas, USA",False,credit,0
T26023,U51090,2025-06-23T17:39:30.731706Z,14.52,desktop,"New York, USA",True,credit,0
T95305,U38693,2025-10-04T17:39:30.731706Z,141.38,mobile,"Texas, USA",False,debit,0
T12747,U69150,2025-08-02T17:39:30.731706Z,23.74,desktop,"Texas, USA",False,credit,0
T13890,U51606,2025-02-14T17:39:30.731706Z,149.69,desktop,"Florida, USA",False,debit,0
T86552,U33897,2025-03-18T17:39:30.731706Z,196.89,tablet,"Florida, USA",True,credit,1
T90077,U45920,2025-03-15T17:39:30.731706Z,814.69,desktop,"New York, USA",False,debit,1
T19692,U55758,2025-08-30T17:39:30.731706Z,149.35,desktop,"New York, USA",False,prepaid,0
T50397,U11016,2025-08-02T17:39:30.731706Z,295.15,mobile,"New York, USA",False,debit,1
T49099,U18571,2025-03-06T17:39:30.731706Z,263.52,mobile,"California, USA",True,credit,1
T77563,U12695,2025-03-28T17:39:30.731706Z,1267.42,mobile,"Florida, USA",False,credit,1
T13561,U36854,2025-03-06T17:39:30.731706Z,616.16,mobile,"Florida, USA",False,credit,0
T45222,U87373,2025-08-28T17:39:30.731706Z,274.1,desktop,"Texas, USA",False,prepaid,0
T89309,U37266,2025-10-08T17:39:30.731706Z,319.79,tablet,"Texas, USA",False,prepaid,0
T97054,U97897,2025-03-07T17:39:30.731706Z,144.66,tablet,"Texas, USA",False,credit,0
T97939,U28141,2025-09-12T17:39:30.731706Z,132.07,tablet,"California, USA",False,prepaid,0
T32299,U53585,2025-07-13T17:39:30.731706Z,412.72,mobile,"California, USA",False,debit,0
T28047,U36105,2026-01-07T17:39:30.731706Z,330.39,desktop,"California, USA",True,prepaid,1
T65016,U19474,2026-01-18T17:39:30.731706Z,44.98,tablet,"California, USA",False,credit,0
T76199,U44766,2025-12-05T17:39:30.731706Z,97.6,mobile,"Florida, USA",False,credit,0
T93211,U62733,2025-11-15T17:39:30.731706Z,171.91,mobile,"California, USA",False,credit,0
T10854,U48623,2025-09-06T17:39:30.731706Z,251.52,desktop,"New York, USA",False,debit,0
T97455,U73734,2025-12-14T17:39:30.731706Z,63.23,tablet,"California, USA",False,credit,1
T75733,U99045,2025-09-21T17:39:30.731706Z,400.3,mobile,"Florida, USA",False,credit,0
T12811,U66250,2026-01-05T17:39:30.731706Z,538.22,tablet,"Florida, USA",False,credit,1
